Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,Price_Change,MA_7,MA_30,MA_90,Volatility_30d,Day_of_Week,Month,Year,Quarter
2015-10-28,293.7,306.33,293.7,304.62,50808100,3.69,12.63,10.92,285.65,257.57,248.0,1.56,Wednesday,10,2015,4
2015-10-29,304.32,318.17,301.82,313.86,64495900,3.03,16.35,9.53,291.34,260.15,248.32,1.57,Thursday,10,2015,4
2015-10-30,313.94,334.17,313.94,328.02,78305000,4.51,20.23,14.07,298.7,263.21,248.84,1.68,Friday,10,2015,4
2015-10-31,328.51,332.78,309.25,314.17,48598100,-4.22,23.53,-14.35,303.35,265.77,249.19,1.94,Saturday,10,2015,4
2015-11-01,315.01,327.47,311.88,325.43,37001100,3.59,15.59,10.43,309.31,268.7,249.68,1.99,Sunday,11,2015,4
2015-11-02,325.94,365.36,323.21,361.19,101918000,10.99,42.15,35.25,320.15,272.79,250.52,2.69,Monday,11,2015,4
2015-11-03,361.87,417.9,357.65,403.42,206162000,11.69,60.25,41.54,335.81,278.29,251.87,3.25,Tuesday,11,2015,4
2015-11-04,403.66,495.56,380.55,411.56,263900000,2.02,115.01,7.9,351.09,284.0,253.35,3.25,Wednesday,11,2015,4
2015-11-05,408.08,447.56,374.58,386.35,151824992,-6.13,72.98,-21.72,361.45,288.67,254.54,3.56,Thursday,11,2015,4
2015-11-06,388.05,395.84,354.02,374.47,122687000,-3.08,41.81,-13.58,368.08,293.06,255.8,3.62,Friday,11,2015,4
2015-11-07,374.27,390.59,372.43,386.48,56625100,3.21,18.15,12.21,378.42,297.86,257.15,3.62,Saturday,11,2015,4
2015-11-08,384.28,389.89,368.7,373.37,51817600,-3.39,21.19,-10.91,385.26,302.18,258.36,3.73,Sunday,11,2015,4
2015-11-09,374.32,385.28,362.89,380.26,68224400,1.85,22.38,5.93,387.99,306.69,259.58,3.73,Monday,11,2015,4
2015-11-10,379.98,381.39,329.11,336.82,95797904,-11.42,52.28,-43.17,378.47,309.68,260.36,4.42,Tuesday,11,2015,4
